objectid,creator,subject,location,latitude,longitude,date,identifier,title,description,image_alt_text,object_transcript,code_1,code_2,code_3,code_4,code_5,code_6,code_7,code_8,code_9,code_10,code_11,code_12,code_13,code_14,combined_codes,display_template,type,format,language,source,rights,rightsstatement,data_curation,project_administration,conceptualization,formal_analysis,methodology,object_location,image_small,image_thumb
3c77473e-60e8-4d1a-b1b2-5fe16be22cab,,,,,,,3c77473e-60e8-4d1a-b1b2-5fe16be22cab.png,4:8:2022 anarchistposters What Color is your Flag When it Burns? fire-,,,,Police Imagery,Fire,Flags,Thin Blue Line TBL,Elements,,,,,,,,,,Elements; Fire; Flags; Police Imagery; Thin Blue Line TBL,image,Image;StillImage,image/png,eng,,,,,,,,,https://abnow.s3.amazonaws.com/objects/3c77473e-60e8-4d1a-b1b2-5fe16be22cab.png,https://abnow.s3.amazonaws.com/objects/small/3c77473e-60e8-4d1a-b1b2-5fe16be22cab_sm.jpg,https://abnow.s3.amazonaws.com/objects/thumbs/3c77473e-60e8-4d1a-b1b2-5fe16be22cab_th.jpg
660608e9-f35f-4347-9bd5-234fc5c0fde5,,,,,,,660608e9-f35f-4347-9bd5-234fc5c0fde5.jpg,"2 04 2022 ricardolevinsmorales Minneapolice sky, tree, police imagery-",,,,Police Imagery,Minneapolis,,,,,,,,,,,,,Minneapolis; Police Imagery,image,Image;StillImage,image/png,eng,,,,,,,,,https://abnow.s3.amazonaws.com/objects/660608e9-f35f-4347-9bd5-234fc5c0fde5.jpg,https://abnow.s3.amazonaws.com/objects/small/660608e9-f35f-4347-9bd5-234fc5c0fde5_sm.jpg,https://abnow.s3.amazonaws.com/objects/thumbs/660608e9-f35f-4347-9bd5-234fc5c0fde5_th.jpg
07a088dd-2113-4367-ab03-e34bcbe1da9f,,,,,,,07a088dd-2113-4367-ab03-e34bcbe1da9f.jpg,2 7 2022 culturestrike We Made This World We Can Have Another fire-,,,,Earth,Fire,Elements,,,,,,,,,,,,Earth; Elements; Fire,image,Image;StillImage,image/png,eng,,,,,,,,,https://abnow.s3.amazonaws.com/objects/07a088dd-2113-4367-ab03-e34bcbe1da9f.jpg,https://abnow.s3.amazonaws.com/objects/small/07a088dd-2113-4367-ab03-e34bcbe1da9f_sm.jpg,https://abnow.s3.amazonaws.com/objects/thumbs/07a088dd-2113-4367-ab03-e34bcbe1da9f_th.jpg
ea6e7567-2e23-4659-9c8e-9c1f05babd3f,,,,,,,ea6e7567-2e23-4659-9c8e-9c1f05babd3f.jpg,Nashville bail out,,,,Protests/Marches,Slogans,No Jails/Bail,,,,,,,,,,,,No Jails/Bail; Protests/Marches; Slogans,image,Image;StillImage,image/png,eng,,,,,,,,,https://abnow.s3.amazonaws.com/objects/ea6e7567-2e23-4659-9c8e-9c1f05babd3f.jpg,https://abnow.s3.amazonaws.com/objects/small/ea6e7567-2e23-4659-9c8e-9c1f05babd3f_sm.jpg,https://abnow.s3.amazonaws.com/objects/thumbs/ea6e7567-2e23-4659-9c8e-9c1f05babd3f_th.jpg
90d8be58-3dd1-4f44-b5c7-cd3ec55197e0,,,,,,,90d8be58-3dd1-4f44-b5c7-cd3ec55197e0.jpg,native-pipeline-protest,,,,Protests/Marches,Power Fist,,,,,,,,,,,,,Power Fist; Protests/Marches,image,Image;StillImage,image/png,eng,,,,,,,,,https://abnow.s3.amazonaws.com/objects/90d8be58-3dd1-4f44-b5c7-cd3ec55197e0.jpg,https://abnow.s3.amazonaws.com/objects/small/90d8be58-3dd1-4f44-b5c7-cd3ec55197e0_sm.jpg,https://abnow.s3.amazonaws.com/objects/thumbs/90d8be58-3dd1-4f44-b5c7-cd3ec55197e0_th.jpg
b9098751-0d81-4f71-a2de-cfc913f57782,,,,,,,b9098751-0d81-4f71-a2de-cfc913f57782.jpg,"2 19 2022 anarchistposters Abolish the Police chains, ACAB-",,,,Police Imagery,Chains,,,,,,,,,,,,,Chains; Police Imagery,image,Image;StillImage,image/png,eng,,,,,,,,,https://abnow.s3.amazonaws.com/objects/b9098751-0d81-4f71-a2de-cfc913f57782.jpg,https://abnow.s3.amazonaws.com/objects/small/b9098751-0d81-4f71-a2de-cfc913f57782_sm.jpg,https://abnow.s3.amazonaws.com/objects/thumbs/b9098751-0d81-4f71-a2de-cfc913f57782_th.jpg
3c16772d-75f0-492a-af22-1e46492d14d2,,,,,,,3c16772d-75f0-492a-af22-1e46492d14d2.jpg,"3 03 2022 torontoprisonersrightsproject No More Deaths in Custody chains, crosses-",,,,Carceral Imagery,Barb Wire/Fences/Walls,,,,,,,,,,,,,Barb Wire/Fences/Walls; Carceral Imagery,image,Image;StillImage,image/png,eng,,,,,,,,,https://abnow.s3.amazonaws.com/objects/3c16772d-75f0-492a-af22-1e46492d14d2.jpg,https://abnow.s3.amazonaws.com/objects/small/3c16772d-75f0-492a-af22-1e46492d14d2_sm.jpg,https://abnow.s3.amazonaws.com/objects/thumbs/3c16772d-75f0-492a-af22-1e46492d14d2_th.jpg
29dc4144-2d28-4406-8a3d-122c34aa1b86,,,,,,,29dc4144-2d28-4406-8a3d-122c34aa1b86.jpg,3 08 2022 socialist.art Good People Disobey Bad Laws prison imagery-,,,,Crime/Law Breaking,Art,,,,,,,,,,,,,Art; Crime/Law Breaking,image,Image;StillImage,image/png,eng,,,,,,,,,https://abnow.s3.amazonaws.com/objects/29dc4144-2d28-4406-8a3d-122c34aa1b86.jpg,https://abnow.s3.amazonaws.com/objects/small/29dc4144-2d28-4406-8a3d-122c34aa1b86_sm.jpg,https://abnow.s3.amazonaws.com/objects/thumbs/29dc4144-2d28-4406-8a3d-122c34aa1b86_th.jpg
51b8c22a-cdcc-4251-ab77-0d7d8b75a580,,,,,,,51b8c22a-cdcc-4251-ab77-0d7d8b75a580.jpg,"3 15 2022 cindymilstein Be Gay, Do Crime street art-",,,,Be Gay Do Crime,Slogans,Art,Graffiti,,,,,,,,,,,Art; Be Gay Do Crime; Graffiti; Slogans,image,Image;StillImage,image/png,eng,,,,,,,,,https://abnow.s3.amazonaws.com/objects/51b8c22a-cdcc-4251-ab77-0d7d8b75a580.jpg,https://abnow.s3.amazonaws.com/objects/small/51b8c22a-cdcc-4251-ab77-0d7d8b75a580_sm.jpg,https://abnow.s3.amazonaws.com/objects/thumbs/51b8c22a-cdcc-4251-ab77-0d7d8b75a580_th.jpg
86630f2b-9a9f-4e8e-885a-f8c809d5dc6a,,,,,,,86630f2b-9a9f-4e8e-885a-f8c809d5dc6a.jpg,"3 16 2022 3chordpolitics F the Police w  Big Bird advertisement, street art-",,,,,,,,,,,,,,,,,,,image,Image;StillImage,image/png,eng,,,,,,,,,https://abnow.s3.amazonaws.com/objects/86630f2b-9a9f-4e8e-885a-f8c809d5dc6a.jpg,https://abnow.s3.amazonaws.com/objects/small/86630f2b-9a9f-4e8e-885a-f8c809d5dc6a_sm.jpg,https://abnow.s3.amazonaws.com/objects/thumbs/86630f2b-9a9f-4e8e-885a-f8c809d5dc6a_th.jpg
